KEV,INTENSITY
0.37935,4.338500
0.38679,4.290850
0.39423,4.244200
0.40166,4.192450
0.40910,4.135450
0.41654,4.094700
0.42398,4.040700
0.43142,3.991600
0.43886,3.945250
0.44629,3.906150
0.45373,3.869600
0.46117,3.808950
0.46861,3.779400
0.47605,3.727650
0.48349,3.679250
0.49092,3.630450
0.49836,3.606200
0.50580,3.566400
0.51324,3.524650
0.52068,3.484000
0.52811,3.456100
0.53555,3.409200
0.54299,3.372950
0.55043,3.350000
0.55787,3.312150
0.56531,3.270250
0.57274,3.252050
0.58018,3.218200
0.58762,3.191200
0.59506,3.157850
0.60250,3.133350
0.60994,3.111550
0.61737,3.046900
0.62481,3.062600
0.63225,3.041400
0.63969,3.020750
0.64713,2.985750
0.65456,2.958050
0.66200,2.954100
0.66944,2.921250
0.67688,2.907550
0.68432,2.899200
0.69176,2.889550
0.69919,2.864250
0.70663,2.844500
0.71407,2.805650
0.72151,2.784500
0.72895,2.778550
0.73639,2.732200
0.74382,2.703400
0.75126,2.755950
0.75870,2.721100
0.76614,2.681500
0.77358,2.651300
0.78102,2.634950
0.78845,2.652700
0.79589,2.618400
0.80333,2.607500
0.81077,2.592150
0.81821,2.593100
0.82564,2.564150
0.83308,2.562100
0.84052,2.531850
0.84796,2.523050
0.85540,2.537850
0.86284,2.542850
0.87027,2.535600
0.87771,2.494000
0.88515,2.490000
0.89259,2.460450
0.90003,2.459350
0.90747,2.425050
0.91490,2.468350
0.92234,2.444650
0.92978,2.447800
0.93722,2.422450
0.94466,2.433600
0.95209,2.426000
0.95953,2.435150
0.96697,2.390750
0.97441,2.399600
0.98185,2.416900
0.98929,2.400500
0.99672,2.370050
1.00416,2.317900
1.01160,2.254500
1.01904,2.187000
1.02648,2.299550
1.03392,2.354100
1.04135,2.332250
1.04879,2.337050
1.05623,2.338250
1.06367,2.339350
1.07111,2.345400
1.07854,2.303450
1.08598,2.326250
1.09342,2.319650
1.10086,2.268250
1.10830,2.279600
1.11574,2.274200
1.12317,2.308550
1.13061,2.303150
1.13805,2.306950
1.14549,2.246600
1.15293,2.247900
1.16037,2.206100
1.16780,2.258600
1.17524,2.218350
1.18268,2.277000
1.19012,2.223950
1.19756,2.237350
1.20499,2.250650
1.21243,2.215100
1.21987,2.200650
1.22731,2.231050
1.23475,2.235050
1.24219,2.214300
1.24962,2.202750
1.25706,2.184850
1.26450,2.211500
1.27194,2.214900
1.27938,2.198850
1.28682,2.170950
1.29425,2.148700
1.30169,2.232400
1.30913,2.192050
1.31657,2.188850
1.32401,2.241000
1.33144,2.191100
1.33888,2.210850
1.34632,2.211350
1.35376,2.180950
1.36120,2.262750
1.36864,2.205000
1.37607,2.176450
1.38351,2.220850
1.39095,2.221650
1.39839,2.201400
1.40583,2.225150
1.41327,2.225800
1.42070,2.199450
1.42814,2.233950
1.43558,2.213150
1.44302,2.223450
1.45046,2.240400
1.45789,2.239000
1.46533,2.252850
1.47277,2.254450
1.48021,2.229550
1.48765,2.190200
1.49509,2.230100
1.50252,2.257650
1.50996,2.207900
1.51740,2.184650
1.52484,2.201400
1.53228,2.225150
1.53972,2.246350
1.54715,2.245050
1.55459,2.229150
1.56203,2.125400
1.56947,2.232750
1.57691,2.234100
1.58434,2.225250
1.59178,2.264350
1.59922,2.253750
1.60666,2.212150
1.61410,2.269000
1.62154,2.226400
1.62897,2.260650
1.63641,2.312000
1.64385,2.255300
1.65129,2.312450
1.65873,2.292650
1.66617,2.300950
1.67360,2.269300
1.68104,2.301050
1.68848,2.284000
1.69592,2.268350
1.70336,2.332250
1.71079,2.307300
1.71823,2.250450
1.72567,2.311150
1.73311,2.234150
1.74055,2.261100
1.74799,2.228750
1.75542,2.278050
1.76286,2.292250
1.77030,2.256400
1.77774,2.195900
1.78518,2.231550
1.79262,2.212050
1.80005,2.197800
1.80749,2.165650
1.81493,2.153050
1.82237,2.164350
1.82981,2.138100
1.83724,2.173050
1.84468,2.089750
1.85212,2.051150
1.85956,2.027850
1.86700,2.033800
1.87444,2.097100
1.88187,2.046250
1.88931,2.029200
1.89675,1.963950
1.90419,1.888350
1.91163,1.933050
1.91907,1.814100
1.92650,1.775950
1.93394,1.778200
1.94138,1.826750
1.94882,1.826650
1.95626,1.816200
1.96369,1.760250
1.97113,1.751650
1.97857,1.743850
1.98601,1.802650
1.99345,1.799300
2.00089,1.694400
2.00832,1.747900
2.01576,1.655900
2.02320,1.715300
2.03064,1.684650
2.03808,1.647650
2.04552,1.653150
2.05295,1.707500
2.06039,1.712950
2.06783,1.667250
