KEV,INTENSITY
2.73297,1.085579
2.74037,1.066729
2.74778,1.126354
2.75519,1.124069
2.76259,1.097807
2.77000,1.170294
2.77741,1.035349
2.78481,1.071604
2.79222,1.038315
2.79963,1.055034
2.80703,1.021982
2.81444,1.01538
2.82184,1.061547
2.82925,1.050908
2.83666,1.098333
2.84406,1.028027
2.85147,1.030708
2.85888,1.05815
2.86628,1.035924
2.87369,1.116714
2.88110,1.008636
2.88850,1.005441
2.89591,1.043149
2.90332,0.96582
2.91072,0.939367
2.91813,0.991443
2.92553,0.902421
2.93294,1.025588
2.94035,1.068884
2.94775,1.02407
2.95516,1.074568
2.96257,1.035198
2.96997,0.99284
2.97738,1.020363
2.98479,1.018852
2.99219,1.013931
2.99960,1.010831
3.00701,1.043532
3.01441,1.042074
3.02182,1.07986
3.02922,1.05298
3.03663,1.051147
3.04404,1.01788
3.05144,1.025242
3.05885,1.047176
3.06626,1.047238
3.07366,1.09591
3.08107,1.04902
3.08848,1.078699
3.09588,1.078317
3.10329,1.093979
3.11070,1.059982
3.11810,1.11756
3.12551,1.05127
3.13291,1.136739
3.14032,1.130603
3.14773,1.128784
3.15513,1.158609
3.16254,1.136197
3.16995,1.145071
3.17735,1.174343
3.18476,1.221345
3.19217,1.25549
3.19957,1.250704
3.20698,1.3281
3.21439,1.291174
3.22179,1.27183
3.22920,1.28376
3.23660,1.32313
3.24401,1.342
3.25142,1.39677
3.25882,1.35034
3.26623,1.40476
3.27364,1.44386
3.28104,1.40774
3.28845,1.41316
3.29586,1.40468
3.30326,1.43451
3.31067,1.45133
3.31807,1.47858
3.32548,1.44912
3.33289,1.41522
3.34029,1.49247
3.34770,1.4682
3.35511,1.47963
3.36251,1.4965
3.36992,1.53158
3.37733,1.5366
3.38473,1.53156
3.39214,1.53348
3.39955,1.51795
3.40695,1.60404
3.41436,1.6448
3.42176,1.55984
3.42917,1.58861
3.43658,1.66385
3.44398,1.65364
3.45139,1.66628
3.45880,1.71153
3.46620,1.77112
3.47361,1.74705
3.48102,1.79601
3.48842,1.81038
3.49583,1.85263
3.50324,1.91817
3.51064,1.943
3.51805,1.96199
3.52545,2.00908
3.53286,2.04462
3.54027,2.05007
3.54767,2.08737
3.55508,2.11447
3.56249,2.16548
3.56989,2.17739
3.57730,2.19544
3.58471,2.23099
3.59211,2.27607
3.59952,2.2889
3.60693,2.31449
3.61433,2.313
3.62174,2.35544
3.62914,2.34941
3.63655,2.36206
3.64396,2.3924
3.65136,2.40548
3.65877,2.39137
3.66618,2.419
3.67358,2.42412
3.68099,2.41437
3.68840,2.41712
3.69580,2.41619
3.70321,2.40949
3.71061,2.4072
3.71802,2.4162
3.72543,2.38943
3.73283,2.37999
3.74024,2.36685
3.74765,2.36283
3.75505,2.34917
3.76246,2.31113
3.76987,2.31168
3.77727,2.27784
3.78468,2.21972
3.79209,2.18007
3.79949,2.14249
3.80690,2.12796
3.81430,2.16328
3.82171,2.1554
3.82912,2.12271
3.83652,2.11871
3.84393,2.10065
3.85134,2.05994
3.85874,2.05843
3.86615,2.04928
3.87356,1.99234
3.88096,1.97301
3.88837,1.9376
3.89578,1.97384
3.90318,1.9415
3.91059,1.9171
3.91799,1.8764
3.92540,1.85593
3.93281,1.83606
3.94021,1.82106
3.94762,1.82931
3.95503,1.8381
3.96243,1.8098
3.96984,1.81891
3.97725,1.7969
3.98465,1.77033
3.99206,1.80496
3.99947,1.7745
4.00687,1.76333
4.01428,1.7375
4.02168,1.75012
4.02909,1.74306
4.03650,1.76923
4.04390,1.74959
4.05131,1.73711
4.05872,1.69795
4.06612,1.65504
4.07353,1.69897
4.08094,1.67302
4.08834,1.63618
4.09575,1.63749
4.10316,1.61405
4.11056,1.58451
4.11797,1.59512
4.12537,1.56565
