KEV,INTENSITY
0.39549,4.8511
0.40325,4.81023
0.411,4.784
0.41876,4.75107
0.42651,4.71533
0.43427,4.68877
0.44202,4.6564
0.44978,4.61553
0.45753,4.61187
0.46529,4.57113
0.47304,4.54693
0.4808,4.5134
0.48855,4.4878
0.4963,4.4484
0.50406,4.41773
0.51181,4.3823
0.51957,4.39463
0.52732,4.33053
0.53508,4.30537
0.54283,4.2718
0.55059,4.23823
0.55834,4.21397
0.5661,4.18277
0.57385,4.14797
0.58161,4.1397
0.58936,4.09993
0.59712,4.0777
0.60487,4.05003
0.61263,4.0192
0.62038,3.99007
0.62814,3.96153
0.63589,3.92693
0.64365,3.92503
0.6514,3.88313
0.65915,3.862
0.66691,3.80333
0.67466,3.6832
0.68242,3.65503
0.69017,3.734
0.69793,3.7331
0.70568,3.7383
0.71344,3.7022
0.72119,3.69043
0.72895,3.66467
0.7367,3.63897
0.74446,3.6183
0.75221,3.59427
0.75997,3.5588
0.76772,3.55723
0.77548,3.5089
0.78323,3.51257
0.79099,3.49173
0.79874,3.47017
0.80649,3.44237
0.81425,3.43523
0.822,3.40543
0.82976,3.40277
0.83751,3.37523
0.84527,3.36287
0.85302,3.3472
0.86078,3.3235
0.86853,3.28873
0.87629,3.2854
0.88404,3.25923
0.8918,3.25927
0.89955,3.24643
0.90731,3.2365
0.91506,3.20723
0.92282,3.19667
0.93057,3.17773
0.93833,3.15997
0.94608,3.12777
0.95384,3.14607
0.96159,3.12573
0.96934,3.10623
0.9771,3.0788
0.98485,3.08167
0.99261,3.0726
1.00036,3.0399
1.00812,3.01323
1.01587,3.04087
1.02363,3.01243
1.03138,2.99933
1.03914,2.99017
1.04689,2.968
1.05465,2.96297
1.0624,2.95083
1.07016,2.9239
1.07791,2.92913
1.08567,2.92873
1.09342,2.9169
1.10118,2.9157
1.10893,2.87003
1.11669,2.8904
1.12444,2.8777
1.13219,2.85287
1.13995,2.87553
1.1477,2.8439
1.15546,2.8489
1.16321,2.84427
1.17097,2.81893
1.17872,2.81063
1.18648,2.80487
1.19423,2.79173
1.20199,2.8172
1.20974,2.78463
1.2175,2.78153
1.22525,2.79267
1.23301,2.7965
1.24076,2.74657
1.24852,2.74383
1.25627,2.73847
1.26403,2.76637
1.27178,2.75123
1.27954,2.74503
1.28729,2.70327
1.29504,2.72763
1.3028,2.72787
1.31055,2.72107
1.31831,2.69753
1.32606,2.7032
1.33382,2.6786
1.34157,2.69517
1.34933,2.67407
1.35708,2.67913
1.36484,2.65987
1.37259,2.6434
1.38035,2.6331
1.3881,2.66803
1.39586,2.6376
1.40361,2.64683
1.41137,2.61997
1.41912,2.62523
1.42688,2.58777
1.43463,2.6263
1.44239,2.61707
1.45014,2.64997
1.45789,2.6249
1.46565,2.63977
1.4734,2.60617
1.48116,2.60843
1.48891,2.6112
1.49667,2.59267
1.50442,2.5722
1.51218,2.61613
1.51993,2.56577
1.52769,2.5586
1.53544,2.58827
1.5432,2.5385
1.55095,2.52823
1.55871,2.51417
1.56646,2.50243
1.57422,2.52367
1.58197,2.5215
1.58973,2.5086
1.59748,2.5033
1.60524,2.48603
1.61299,2.45663
1.62074,2.41933
1.6285,2.3259
1.63625,2.24433
1.64401,2.36517
1.65176,2.43757
1.65952,2.40693
1.66727,2.40743
1.67503,2.37583
1.68278,2.39687
1.69054,2.3735
1.69829,2.38163
1.70605,2.36953
1.7138,2.38027
1.72156,2.3717
1.72931,2.364
1.73707,2.34433
1.74482,2.32323
1.75258,2.34433
1.76033,2.33573
1.76809,2.2972
1.77584,2.3244
1.78359,2.29997
1.79135,2.31047
1.7991,2.2609
1.80686,2.31383
1.81461,2.2863
1.82237,2.3024
1.83012,2.3071
1.83788,2.29873
1.84563,2.2988
1.85339,2.30307
1.86114,2.3178
1.8689,2.31147
1.87665,2.22233
1.88441,2.29427
1.89216,2.26793
1.89992,2.31123
1.90767,2.27773
1.91543,2.2609
1.92318,2.28163
1.93094,2.2448
1.93869,2.2538
1.94644,2.29177
1.9542,2.26857
1.96195,2.2577
1.96971,2.25897
1.97746,2.2663
1.98522,2.2577
1.99297,2.21507
2.00073,2.19677
2.00848,2.24037
2.01624,2.26957
2.02399,2.19197
2.03175,2.22773
2.0395,2.1982
2.04726,2.19673
2.05501,2.21327
2.06277,2.1728
2.07052,2.21563
2.07828,2.17977
2.08603,2.21507
2.09378,2.1226
2.10154,2.15183
2.10929,2.1508
2.11705,2.16893
2.1248,2.14163
2.13256,2.17403
2.14031,2.1398
2.14807,2.17797
2.15582,2.1641
2.16358,2.12773
2.17133,2.12903
2.17909,2.16363
2.18684,2.1512
2.1946,2.1257
2.20235,2.1266
2.21011,2.13943
2.21786,2.16467
2.22562,2.13757
2.23337,2.1325
2.24113,2.1058
2.24888,2.12577
2.25663,2.13413
2.26439,2.15577
2.27214,2.133
2.2799,2.11933
2.28765,2.1249
2.29541,2.13447
2.30316,2.13837
2.31092,2.1319
2.31867,2.13207
2.32643,2.1053
2.33418,2.1291
2.34194,2.1186
2.34969,2.1101
2.35745,2.09323
2.3652,2.12903
2.37296,2.0927
2.38071,2.11387
2.38847,2.07703
2.39622,2.09237
2.40398,2.08057
2.41173,2.0641
2.41948,2.05673
2.42724,2.08223
2.43499,1.9854
2.44275,2.0889
2.4505,2.04777
2.45826,2.06173
2.46601,2.07353
2.47377,2.0413
2.48152,2.07127
2.48928,2.0461
2.49703,2.04633
2.50479,2.07823
2.51254,2.04453
2.5203,2.00657
2.52805,2.0245
2.53581,1.9553
2.54356,2.01423
2.55132,1.9509
2.55907,1.95707
2.56683,1.98003
2.57458,1.97737
2.58233,2.0084
2.59009,1.9834
2.59784,1.94197
2.6056,1.98183
2.61335,1.9171
2.62111,1.994
2.62886,1.9656
2.63662,1.9384
2.64437,1.83053
2.65213,1.74327
2.65988,1.82193
2.66764,1.87597
2.67539,1.91893
2.68315,1.93263
2.6909,1.9321
2.69866,1.8957
2.70641,1.8686
2.71417,1.84083
2.72192,1.85263
2.72968,1.90503
2.73743,1.85233
2.74518,1.84973
2.75294,1.85757
2.76069,1.7949
2.76845,1.8776
2.7762,1.83843
2.78396,1.83293
2.79171,1.80667
2.79947,1.85997
2.80722,1.79407
2.81498,1.82813
2.82273,1.8457
2.83049,1.79997
2.83824,1.8218
2.846,1.757
2.85375,1.84023
2.86151,1.85003
2.86926,1.8574
2.87702,1.81047
2.88477,1.8591
2.89253,1.74393
2.90028,1.76327
2.90803,1.80063
2.91579,1.81503
2.92354,1.75253
2.9313,1.77647
2.93905,1.754
2.94681,1.7991
2.95456,1.77977
2.96232,1.8016
2.97007,1.7793
2.97783,1.88267
2.98558,1.8468
2.99334,1.78843
3.00109,1.77713
3.00885,1.7556
3.0166,1.79563
3.02436,1.81287
3.03211,1.82823
3.03987,1.84947
3.04762,1.80357
3.05538,1.85073
3.06313,1.8251
3.07088,1.83753
3.07864,1.8659
3.08639,1.83237
3.09415,1.8369
3.1019,1.9033
3.10966,1.85697
3.11741,1.84697
3.12517,1.84243
3.13292,1.88033
3.14068,1.82417
3.14843,1.85787
3.15619,1.92413
3.16394,1.92987
3.1717,1.89517
3.17945,1.83643
3.18721,1.93927
3.19496,1.91533
3.20272,1.91357
3.21047,1.89543
3.21823,1.93483
3.22598,1.95543
3.23373,1.91643
3.24149,1.89923
3.24924,1.93263
3.257,1.9017
3.26475,1.94233
3.27251,1.98807
3.28026,1.96027
3.28802,2.01557
3.29577,1.99997
3.30353,1.9997
3.31128,1.98717
3.31904,2.00623
3.32679,2.0543
3.33455,2.03027
3.3423,2.0964
3.35006,2.07773
3.35781,2.0904
3.36557,2.10813
3.37332,2.1398
3.38108,2.1653
3.38883,2.15907
3.39658,2.17727
3.40434,2.26017
3.41209,2.23007
3.41985,2.26617
3.4276,2.3037
3.43536,2.27217
3.44311,2.31303
3.45087,2.35217
3.45862,2.366
3.46638,2.39197
3.47413,2.40747
3.48189,2.41593
3.48964,2.4656
3.4974,2.50443
3.50515,2.49213
3.51291,2.51527
3.52066,2.50643
3.52842,2.5446
3.53617,2.56037
3.54392,2.58133
3.55168,2.55177
3.55943,2.6111
3.56719,2.5899
3.57494,2.53567
