2-THETA,INTENSITY
14.35,441
14.4,514
14.45,526
14.5,459
14.55,541
14.6,476
14.65,489
14.7,466
14.75,488
14.8,508
14.85,532
14.9,455
14.95,513
15,540
15.05,551
15.1,503
15.15,558
15.2,543
15.25,522
15.3,616
15.35,595
15.4,447
15.45,523
15.5,491
15.55,549
15.6,494
15.65,359
15.7,439
15.75,528
15.8,573
15.85,643
15.9,538
15.95,723
16,629
16.05,615
16.1,673
16.15,610
16.2,550
16.25,536
16.3,591
16.35,518
16.4,606
16.45,515
16.5,524
16.55,503
16.6,552
16.65,501
16.7,584
16.75,554
16.8,491
16.85,464
16.9,575
16.95,434
17,503
17.05,598
17.1,582
17.15,499
17.2,607
17.25,606
17.3,556
17.35,674
17.4,575
17.45,558
17.5,538
17.55,555
17.6,610
17.65,529
17.7,592
17.75,656
17.8,585
17.85,576
17.9,585
17.95,608
18,609
18.05,613
18.1,680
18.15,627
18.2,660
18.25,713
18.3,648
18.35,608
18.4,654
18.45,674
18.5,578
18.55,723
18.6,629
18.65,725
18.7,713
18.75,667
18.8,725
18.85,671
18.9,724
18.95,650
19,696
19.05,723
19.1,776
19.15,717
19.2,694
19.25,746
19.3,780
19.35,713
19.4,747
19.45,819
19.5,773
19.55,704
19.6,795
19.65,767
19.7,834
19.75,699
19.8,735
19.85,776
19.9,712
19.95,806
20,772
20.05,654
20.1,809
20.15,709
20.2,704
20.25,744
20.3,778
20.35,806
20.4,854
20.45,827
20.5,893
20.55,756
20.6,808
20.65,764
20.7,726
20.75,742
20.8,582
20.85,701
20.9,689
20.95,720
21,677
21.05,706
21.1,690
21.15,669
21.2,633
21.25,720
21.3,664
21.35,811
21.4,665
21.45,726
21.5,697
21.55,683
21.6,720
21.65,680
21.7,753
21.75,688
21.8,721
21.85,673
21.9,818
21.95,749
22,706
22.05,737
22.1,799
22.15,779
22.2,729
22.25,772
22.3,799
22.35,749
22.4,770
22.45,800
22.5,780
22.55,725
22.6,843
22.65,808
22.7,862
22.75,838
22.8,899
22.85,892
22.9,845
22.95,962
23,876
23.05,909
23.1,961
23.15,901
23.2,1004
23.25,941
23.3,998
23.35,950
23.4,934
23.45,787
23.5,849
23.55,812
23.6,829
23.65,880
23.7,776
23.75,895
23.8,848
23.85,895
23.9,861
23.95,859
24,933
24.05,876
24.1,848
24.15,884
24.2,872
24.25,906
24.3,836
24.35,864
24.4,932
24.45,963
24.5,905
24.55,907
24.6,1008
24.65,891
24.7,846
24.75,842
24.8,943
24.85,881
24.9,831
24.95,1029
25,813
25.05,835
25.1,928
25.15,877
25.2,905
25.25,911
25.3,1029
25.35,929
25.4,1053
25.45,1194
25.5,1633
25.55,1773
25.6,1917
25.65,1925
25.7,2054
25.75,1679
25.8,1305
25.85,1147
25.9,1019
25.95,856
26,904
26.05,837
26.1,931
26.15,882
26.2,815
26.25,959
26.3,890
26.35,898
26.4,992
26.45,959
26.5,976
26.55,1047
26.6,1091
26.65,1164
26.7,1087
26.75,1048
26.8,1067
26.85,964
26.9,975
26.95,899
27,901
27.05,919
27.1,801
27.15,828
27.2,919
27.25,782
27.3,889
27.35,948
27.4,1000
27.45,1001
27.5,1248
27.55,1339
27.6,1416
27.65,1474
27.7,1463
27.75,1357
27.8,1146
27.85,1002
27.9,973
27.95,1017
28,974
28.05,1033
28.1,886
28.15,1049
28.2,998
28.25,1070
28.3,1106
28.35,1099
28.4,1129
28.45,1319
28.5,1220
28.55,1159
28.6,1155
28.65,1069
28.7,873
28.75,856
28.8,899
28.85,895
28.9,838
28.95,903
29,818
29.05,928
29.1,811
29.15,842
29.2,938
29.25,965
29.3,1162
29.35,1059
29.4,1143
29.45,1378
29.5,1869
29.55,1976
29.6,2439
29.65,2489
29.7,2717
29.75,2388
29.8,1962
29.85,1831
29.9,1419
29.95,1277
30,1180
30.05,975
30.1,961
30.15,932
30.2,943
30.25,965
30.3,893
30.35,986
30.4,889
30.45,895
30.5,925
30.55,935
30.6,894
30.65,971
30.7,995
30.75,1096
30.8,1195
30.85,1096
30.9,1108
30.95,1184
31,1339
31.05,1318
31.1,1312
31.15,1266
31.2,1299
31.25,1228
31.3,1191
31.35,1114
31.4,1183
31.45,1077
31.5,994
31.55,991
31.6,900
31.65,1012
31.7,972
31.75,894
31.8,903
31.85,963
31.9,972
31.95,1051
32,962
32.05,1148
32.1,1290
32.15,1422
32.2,1581
32.25,1817
32.3,2227
32.35,2522
32.4,2565
32.45,2668
32.5,2356
32.55,2483
32.6,2303
32.65,2226
32.7,2269
32.75,1898
32.8,1679
32.85,1556
32.9,1216
32.95,1353
33,1267
33.05,1230
33.1,1253
33.15,1247
33.2,1196
33.25,1181
33.3,1204
33.35,1148
33.4,1019
33.45,997
33.5,1025
33.55,947
33.6,915
33.65,897
33.7,878
33.75,965
33.8,909
33.85,980
33.9,949
33.95,919
34,936
34.05,814
34.1,920
34.15,830
34.2,845
34.25,779
34.3,799
34.35,887
34.4,914
34.45,920
34.5,899
34.55,871
34.6,1071
34.65,1011
34.7,984
34.75,894
34.8,955
34.85,982
34.9,895
34.95,780
35,877
35.05,768
35.1,764
35.15,759
35.2,843
35.25,893
35.3,888
35.35,897
35.4,1082
35.45,1059
35.5,1028
35.55,985
35.6,986
35.65,937
35.7,923
35.75,847
35.8,983
35.85,939
35.9,891
35.95,931
36,949
36.05,898
36.1,921
36.15,1004
36.2,947
36.25,938
36.3,862
36.35,820
36.4,884
36.45,923
36.5,1040
36.55,1152
36.6,1244
36.65,1408
36.7,1321
36.75,1225
36.8,1093
36.85,1005
36.9,957
36.95,899
37,808
37.05,810
37.1,778
37.15,845
37.2,812
37.25,792
37.3,710
37.35,873
37.4,774
37.45,867
37.5,792
37.55,814
37.6,775
37.65,812
37.7,737
37.75,746
37.8,682
37.85,722
37.9,649
37.95,738
38,704
38.05,681
38.1,642
38.15,702
38.2,616
38.25,689
38.3,815
38.35,888
38.4,852
38.45,739
38.5,803
38.55,833
38.6,899
38.65,847
38.7,1030
38.75,1042
38.8,1017
38.85,899
38.9,930
38.95,813
39,779
39.05,797
39.1,761
39.15,702
39.2,758
39.25,643
39.3,668
39.35,764
39.4,774
39.45,821
39.5,849
39.55,706
39.6,712
39.65,712
39.7,710
39.75,719
39.8,684
39.85,698
39.9,708
39.95,732
40,768
40.05,779
40.1,691
40.15,710
40.2,702
40.25,777
40.3,797
40.35,768
40.4,771
40.45,747
40.5,844
40.55,762
40.6,846
40.65,829
40.7,832
40.75,840
40.8,844
40.85,886
40.9,934
40.95,995
41,930
41.05,1061
41.1,1011
41.15,1139
41.2,1301
41.25,1129
41.3,1197
41.35,1189
41.4,1231
41.45,1317
41.5,1683
41.55,1658
41.6,1605
41.65,1615
41.7,1372
41.75,1368
41.8,1361
41.85,1276
41.9,1202
41.95,1150
42,960
42.05,1065
42.1,1009
42.15,958
42.2,892
42.25,826
42.3,901
42.35,949
42.4,877
42.45,924
42.5,907
42.55,858
42.6,837
42.65,881
42.7,884
42.75,814
42.8,693
42.85,690
42.9,800
42.95,789
43,758
43.05,654
43.1,734
43.15,734
43.2,706
43.25,647
43.3,698
43.35,725
43.4,776
43.45,748
43.5,653
43.55,620
43.6,721
43.65,646
43.7,689
43.75,668
43.8,702
43.85,611
43.9,655
43.95,655
44,757
44.05,711
44.1,667
44.15,709
44.2,743
44.25,592
44.3,768
44.35,663
44.4,704
44.45,800
44.5,707
44.55,661
44.6,618
44.65,651
44.7,768
44.75,737
44.8,759
44.85,716
44.9,653
44.95,712
45,695
45.05,851
45.1,928
45.15,916
45.2,942
45.25,902
45.3,979
45.35,1023
45.4,1087
45.45,854
45.5,822
45.55,757
45.6,781
45.65,814
45.7,749
45.75,920
45.8,905
45.85,948
45.9,811
45.95,959
46,975
46.05,998
46.1,913
46.15,977
46.2,938
46.25,883
46.3,948
46.35,837
46.4,862
46.45,784
46.5,735
46.55,715
46.6,733
46.65,738
46.7,722
46.75,691
46.8,752
46.85,676
46.9,621
46.95,755
47,657
47.05,675
47.1,657
47.15,698
47.2,656
47.25,675
47.3,804
47.35,824
47.4,705
47.45,769
47.5,856
47.55,755
47.6,882
47.65,914
47.7,875
47.75,906
47.8,1038
47.85,1038
47.9,1016
47.95,1119
48,1032
48.05,862
48.1,896
48.15,926
48.2,813
48.25,651
48.3,847
48.35,744
48.4,832
48.45,733
48.5,795
48.55,870
48.6,753
48.65,823
48.7,702
48.75,771
48.8,786
48.85,693
48.9,724
48.95,735
49,837
49.05,843
49.1,915
49.15,754
49.2,803
49.25,702
49.3,718
49.35,841
49.4,754
49.45,797
49.5,852
49.55,833
49.6,816
49.65,751
49.7,793
49.75,707
49.8,741
49.85,798
49.9,795
49.95,821
50,869
50.05,839
50.1,745
50.15,819
50.2,777
50.25,735
50.3,751
50.35,714
50.4,739
50.45,783
50.5,762
50.55,868
50.6,878
50.65,772
50.7,835
50.75,885
50.8,794
50.85,856
50.9,835
50.95,737
51,872
51.05,803
51.1,726
51.15,781
51.2,732
51.25,749
51.3,715
51.35,782
51.4,779
51.45,772
51.5,829
51.55,792
51.6,816
51.65,740
51.7,749
51.75,674
51.8,734
51.85,740
51.9,733
51.95,631
52,645
