KEV,INTENSITY
0.39594,4.83595
0.4037,4.80653
0.41146,4.77742
0.41923,4.7442
0.42699,4.71937
0.43475,4.68568
0.44252,4.65434
0.45028,4.62709
0.45804,4.59485
0.46581,4.56282
0.47357,4.53285
0.48133,4.50072
0.4891,4.47473
0.49686,4.43909
0.50462,4.40938
0.51239,4.37971
0.52015,4.34618
0.52791,4.31597
0.53568,4.28753
0.54344,4.25591
0.55121,4.23124
0.55897,4.19922
0.56673,4.17011
0.5745,4.1426
0.58226,4.11432
0.59002,4.08454
0.59779,4.05744
0.60555,4.01866
0.61331,3.99406
0.62108,3.96159
0.62884,3.93375
0.6366,3.91001
0.64437,3.87879
0.65213,3.85736
0.65989,3.84339
0.66766,3.8155
0.67542,3.79619
0.68318,3.77632
0.69095,3.75177
0.69871,3.72891
0.70647,3.70489
0.71424,3.68089
0.722,3.65549
0.72976,3.63167
0.73753,3.61196
0.74529,3.58479
0.75305,3.56577
0.76082,3.53844
0.76858,3.49817
0.77635,3.48361
0.78411,3.48254
0.79187,3.46068
0.79964,3.45143
0.8074,3.43144
0.81516,3.40983
0.82293,3.40026
0.83069,3.38238
0.83845,3.36504
0.84622,3.3437
0.85398,3.32388
0.86174,3.31079
0.86951,3.28579
0.87727,3.27724
0.88503,3.25601
0.8928,3.24209
0.90056,3.22639
0.90832,3.20932
0.91609,3.1867
0.92385,3.18645
0.93161,3.16622
0.93938,3.15396
0.94714,3.13682
0.9549,3.12534
0.96267,3.11272
0.97043,3.09173
0.9782,3.08285
0.98596,3.07294
0.99372,3.05365
1.00149,3.04433
1.00925,3.0305
1.01701,3.01953
1.02478,3.00369
1.03254,2.99645
1.0403,2.97739
1.04807,2.97263
1.05583,2.96207
1.06359,2.94518
1.07136,2.94111
1.07912,2.9287
1.08688,2.91619
1.09465,2.91119
1.10241,2.89366
1.11017,2.88856
1.11794,2.87039
1.1257,2.86681
1.13346,2.8636
1.14123,2.85145
1.14899,2.83604
1.15675,2.82704
1.16452,2.81685
1.17228,2.81572
1.18004,2.80502
1.18781,2.79379
1.19557,2.78649
1.20334,2.77645
1.2111,2.77055
1.21886,2.75806
1.22663,2.74986
1.23439,2.74621
1.24215,2.7408
1.24992,2.72577
1.25768,2.72206
1.26544,2.71599
1.27321,2.70808
1.28097,2.70733
1.28873,2.68733
1.2965,2.69121
1.30426,2.67824
1.31202,2.66624
1.31979,2.66539
1.32755,2.6574
1.33531,2.64183
1.34308,2.6362
1.35084,2.6367
1.3586,2.63111
1.36637,2.61585
1.37413,2.61132
1.38189,2.60667
1.38966,2.59594
1.39742,2.59718
1.40518,2.57846
1.41295,2.57354
1.42071,2.5715
1.42848,2.57314
1.43624,2.56365
1.444,2.55686
1.45177,2.54052
1.45953,2.54159
1.46729,2.52625
1.47506,2.53182
1.48282,2.53113
1.49058,2.52014
1.49835,2.50646
1.50611,2.52112
1.51387,2.50231
1.52164,2.50059
1.5294,2.50199
1.53716,2.49328
1.54493,2.49577
1.55269,2.48705
1.56045,2.4671
1.56822,2.47072
1.57598,2.45808
1.58374,2.45107
1.59151,2.45397
1.59927,2.44631
1.60703,2.45849
1.6148,2.45201
1.62256,2.44677
1.63033,2.45026
1.63809,2.44884
1.64585,2.45359
1.65362,2.43999
1.66138,2.44055
1.66914,2.43913
1.67691,2.4369
1.68467,2.42012
1.69243,2.4172
1.7002,2.40754
1.70796,2.40014
1.71572,2.39514
1.72349,2.36386
1.73125,2.35669
1.73901,2.36137
1.74678,2.35942
1.75454,2.37241
1.7623,2.36109
1.77007,2.35917
1.77783,2.34289
1.78559,2.33765
1.79336,2.33187
1.80112,2.32683
1.80888,2.32729
1.81665,2.32171
1.82441,2.31839
1.83217,2.30501
1.83994,2.29095
1.8477,2.29993
1.85547,2.28406
1.86323,2.27441
1.87099,2.26835
1.87876,2.25807
1.88652,2.25708
1.89428,2.23897
1.90205,2.24992
1.90981,2.231
1.91757,2.23333
1.92534,2.22377
1.9331,2.22466
1.94086,2.22425
1.94863,2.20235
1.95639,2.20121
1.96415,2.19799
1.97192,2.18049
1.97968,2.18256
1.98744,2.16946
1.99521,2.16996
2.00297,2.16169
2.01073,2.17039
2.0185,2.17268
2.02626,2.16489
2.03402,2.16237
2.04179,2.17405
2.04955,2.15472
2.05732,2.14627
2.06508,2.1388
2.07284,2.14792
2.08061,2.12983
