KEV,INTENSITY
0.37732,4.07815
0.38472,4.02685
0.39212,3.98145
0.39952,3.9263
0.40692,3.88405
0.41432,3.8329
0.42171,3.7904
0.42911,3.73645
0.43651,3.69035
0.44391,3.64335
0.45131,3.61205
0.45871,3.5777
0.46611,3.5301
0.47350,3.489
0.48090,3.46285
0.48830,3.42035
0.49570,3.3813
0.50310,3.33925
0.51050,3.30315
0.51790,3.2959
0.52529,3.2646
0.53269,3.2269
0.54009,3.2025
0.54749,3.1545
0.55489,3.11435
0.56229,3.1216
0.56968,3.07155
0.57708,3.0523
0.58448,3.0486
0.59188,3.0107
0.59928,2.97385
0.60668,2.96395
0.61408,2.9309
0.62147,2.90895
0.62887,2.8965
0.63627,2.87135
0.64367,2.87205
0.65107,2.85275
0.65847,2.8341
0.66587,2.808
0.67326,2.7888
0.68066,2.7624
0.68806,2.7677
0.69546,2.7501
0.70286,2.7567
0.71026,2.74255
0.71765,2.687
0.72505,2.6909
0.73245,2.66785
0.73985,2.66745
0.74725,2.65305
0.75465,2.64955
0.76205,2.62325
0.76944,2.6356
0.77684,2.6063
0.78424,2.5814
0.79164,2.5926
0.79904,2.5533
0.80644,2.53655
0.81384,2.58135
0.82123,2.5254
0.82863,2.5058
0.83603,2.5197
0.84343,2.52285
0.85083,2.48845
0.85823,2.51055
0.86563,2.48525
0.87302,2.4684
0.88042,2.48715
0.88782,2.4304
0.89522,2.4676
0.90262,2.4346
0.91002,2.4012
0.91741,2.4274
0.92481,2.3986
0.93221,2.4132
0.93961,2.4279
0.94701,2.40705
0.95441,2.39615
0.96181,2.39955
0.96920,2.36735
0.97660,2.40295
0.98400,2.3701
0.99140,2.3535
0.99880,2.4199
1.00620,2.3544
1.01360,2.2676
1.02099,2.23415
1.02839,2.23465
1.03579,2.34925
1.04319,2.33435
1.05059,2.33345
1.05799,2.3162
1.06538,2.3225
1.07278,2.29995
1.08018,2.3222
1.08758,2.28895
1.09498,2.2798
1.10238,2.2691
1.10978,2.2585
1.11717,2.27865
1.12457,2.2424
1.13197,2.27435
1.13937,2.2593
1.14677,2.2411
1.15417,2.24325
1.16157,2.23895
1.16896,2.19805
1.17636,2.2193
1.18376,2.1714
1.19116,2.20885
1.19856,2.1305
1.20596,2.10925
1.21335,2.14305
1.22075,2.1039
1.22815,2.1309
1.23555,2.08155
1.24295,2.1043
1.25035,2.08345
1.25775,2.08395
1.26514,2.07775
1.27254,2.06225
1.27994,2.0396
1.28734,2.06805
1.29474,2.0401
1.30214,2.0106
1.30954,2.0639
1.31693,1.99185
1.32433,1.9747
1.33173,2.01895
1.33913,2.02735
1.34653,2.02065
1.35393,1.9981
1.36132,1.9824
1.36872,1.9969
1.37612,2.00935
1.38352,1.94195
1.39092,1.9507
1.39832,1.95415
1.40572,1.95895
1.41311,1.9454
1.42051,1.88855
1.42791,1.9603
1.43531,1.90835
1.44271,1.95415
1.45011,1.87435
1.45751,1.85045
1.46490,1.9133
1.47230,1.9264
1.47970,1.8624
1.48710,1.9217
1.49450,1.86625
1.50190,1.86185
1.50929,1.87315
1.51669,1.84805
1.52409,1.8543
1.53149,1.79115
1.53889,1.8482
1.54629,1.89165
1.55369,1.80185
