KEV,INTENSITY
0.39594,4.839
0.4037,4.80688
0.41146,4.7714
0.41923,4.74015
0.42699,4.70953
0.43475,4.67515
0.44252,4.64228
0.45028,4.6096
0.45804,4.57848
0.46581,4.54505
0.47357,4.51183
0.48133,4.47668
0.4891,4.44705
0.49686,4.4145
0.50462,4.3868
0.51239,4.35178
0.52015,4.3176
0.52791,4.28785
0.53568,4.25383
0.54344,4.22288
0.55121,4.19193
0.55897,4.1541
0.56673,4.12738
0.5745,4.09825
0.58226,4.0693
0.59002,4.03715
0.59779,4.00438
0.60555,3.9764
0.61331,3.944
0.62108,3.916
0.62884,3.89128
0.6366,3.8607
0.64437,3.83275
0.65213,3.80703
0.65989,3.77773
0.66766,3.74328
0.67542,3.72248
0.68318,3.69798
0.69095,3.67505
0.69871,3.6461
0.70647,3.61935
0.71424,3.59963
0.722,3.5787
0.72976,3.5619
0.73753,3.54365
0.74529,3.51825
0.75305,3.49888
0.76082,3.47988
0.76858,3.46338
0.77635,3.44428
0.78411,3.42408
0.79187,3.395
0.79964,3.39053
0.8074,3.37735
0.81516,3.36703
0.82293,3.35368
0.83069,3.33345
0.83845,3.32205
0.84622,3.29525
0.85398,3.28745
0.86174,3.26085
0.86951,3.2452
0.87727,3.22273
0.88503,3.22018
0.8928,3.19528
0.90056,3.19458
0.90832,3.16963
0.91609,3.1554
0.92385,3.14
0.93161,3.1283
0.93938,3.11675
0.94714,3.10418
0.9549,3.09548
0.96267,3.0704
0.97043,3.08073
0.9782,3.06363
0.98596,3.04708
0.99372,3.0355
1.00149,3.02645
1.00925,3.01813
1.01701,3.0089
1.02478,2.99905
1.03254,2.9943
1.0403,2.96915
1.04807,2.9683
1.05583,2.95243
1.06359,2.96135
1.07136,2.9327
1.07912,2.935
1.08688,2.9455
1.09465,2.91638
1.10241,2.92453
1.11017,2.89445
1.11794,2.88713
1.1257,2.8921
1.13346,2.8949
1.14123,2.87408
1.14899,2.85675
1.15675,2.86695
1.16452,2.86195
1.17228,2.85748
1.18004,2.85095
1.18781,2.83663
1.19557,2.83043
1.20334,2.82098
1.2111,2.7984
1.21886,2.80118
1.22663,2.8064
1.23439,2.79488
1.24215,2.7721
1.24992,2.76868
1.25768,2.74428
1.26544,2.76375
1.27321,2.7575
1.28097,2.7312
1.28873,2.7415
1.2965,2.7513
1.30426,2.72278
1.31202,2.73083
1.31979,2.72553
1.32755,2.71373
1.33531,2.69803
1.34308,2.6864
1.35084,2.67755
1.3586,2.6694
1.36637,2.65788
1.37413,2.67013
1.38189,2.66318
1.38966,2.65663
1.39742,2.64878
1.40518,2.62195
1.41295,2.63173
1.42071,2.62668
1.42848,2.62805
1.43624,2.61423
1.444,2.61973
1.45177,2.61153
1.45953,2.60775
1.46729,2.59145
1.47506,2.5968
1.48282,2.58768
1.49058,2.58035
1.49835,2.57363
1.50611,2.57968
1.51387,2.53448
1.52164,2.55675
1.5294,2.55155
1.53716,2.55683
1.54493,2.54345
1.55269,2.5076
1.56045,2.51748
1.56822,2.51338
1.57598,2.5232
1.58374,2.51623
1.59151,2.50845
1.59927,2.48715
1.60703,2.5067
1.6148,2.4523
1.62256,2.4959
1.63033,2.4642
1.63809,2.43848
1.64585,2.44953
1.65362,2.43495
1.66138,2.4342
1.66914,2.41148
1.67691,2.4145
1.68467,2.3844
1.69243,2.38478
1.7002,2.39933
1.70796,2.4005
1.71572,2.37753
1.72349,2.4046
1.73125,2.36698
1.73901,2.33705
1.74678,2.34833
1.75454,2.33708
1.7623,2.36465
1.77007,2.35465
1.77783,2.3765
1.78559,2.3446
1.79336,2.33883
1.80112,2.29915
1.80888,2.31823
1.81665,2.32338
1.82441,2.30783
1.83217,2.28668
1.83994,2.29193
1.8477,2.3124
1.85547,2.32293
1.86323,2.2662
1.87099,2.2785
1.87876,2.25708
1.88652,2.25165
1.89428,2.2308
1.90205,2.28178
1.90981,2.2605
1.91757,2.2126
1.92534,2.2267
1.9331,2.1969
1.94086,2.22948
1.94863,2.19625
1.95639,2.1895
1.96415,2.19518
1.97192,2.2108
1.97968,2.18655
1.98744,2.17085
1.99521,2.15703
2.00297,2.19473
2.01073,2.16328
2.0185,2.1815
2.02626,2.1732
2.03402,2.20315
2.04179,2.20138
2.04955,2.17325
2.05732,2.15925
2.06508,2.14305
2.07284,2.18718
2.08061,2.15933
2.08837,2.1069
2.09613,2.11278
2.1039,2.15528
2.11166,2.15698
2.11942,2.12373
2.12719,2.1197
2.13495,2.12525
2.14271,2.15933
2.15048,2.15695
2.15824,2.11275
2.166,2.12148
2.17377,2.10938
2.18153,2.14563
2.18929,2.06953
2.19706,2.13098
2.20482,2.09768
2.21258,2.0914
2.22035,2.05213
2.22811,2.08618
2.23587,2.07933
2.24364,2.06393
2.2514,2.0998
2.25916,2.09928
2.26693,2.08203
2.27469,2.0588
2.28246,2.0841
2.29022,2.04238
2.29798,2.05783
2.30575,2.0209
2.31351,2.0521
2.32127,2.0155
2.32904,2.01913
2.3368,1.98823
2.34456,1.99733
2.35233,1.96998
2.36009,1.99853
2.36785,1.97945
2.37562,2.03493
2.38338,1.98525
2.39114,1.9841
2.39891,1.9393
2.40667,1.95908
2.41443,1.9175
2.4222,1.91183
2.42996,1.932
2.43772,1.98418
2.44549,1.96853
2.45325,1.91665
2.46101,1.91585
2.46878,1.92938
2.47654,1.90463
2.4843,1.86485
2.49207,1.933
2.49983,1.91013
2.5076,1.89065
2.51536,1.9004
2.52312,1.821
2.53089,1.90035
2.53865,1.92523
2.54641,1.88788
2.55418,1.89838
2.56194,1.8904
2.5697,1.87835
2.57747,1.82283
2.58523,1.80075
2.59299,1.84753
2.60076,1.84663
2.60852,1.84545
2.61628,1.82663
2.62405,1.88905
2.63181,1.8304
2.63957,1.78435
2.64734,1.82128
2.6551,1.80485
2.66286,1.83238
2.67063,1.83138
2.67839,1.79158
2.68615,1.79183
2.69392,1.77228
2.70168,1.75105
2.70945,1.73503
2.71721,1.76645
2.72497,1.77068
2.73274,1.76153
2.7405,1.75265
