KEV,INTENSITY
0.37935,4.367193
0.38679,4.325419
0.39423,4.280400
0.40166,4.239041
0.40910,4.195374
0.41654,4.152889
0.42398,4.113126
0.43142,4.070722
0.43886,4.032496
0.44629,3.994722
0.45373,3.952800
0.46117,3.915741
0.46861,3.874081
0.47605,3.838067
0.48349,3.802522
0.49092,3.763644
0.49836,3.727337
0.50580,3.698230
0.51324,3.661785
0.52068,3.628130
0.52812,3.593874
0.53555,3.560359
0.54299,3.528315
0.55043,3.496607
0.55787,3.469596
0.56531,3.441881
0.57274,3.411704
0.58018,3.382207
0.58762,3.351093
0.59506,3.325985
0.60250,3.300230
0.60994,3.267615
0.61737,3.248870
0.62481,3.222789
0.63225,3.199281
0.63969,3.176407
0.64713,3.151037
0.65456,3.126978
0.66200,3.105470
0.66944,3.085770
0.67688,3.062430
0.68432,3.040019
0.69176,3.020941
0.69920,3.004670
0.70663,2.981563
0.71407,2.962774
0.72151,2.948107
0.72895,2.927630
0.73639,2.908363
0.74382,2.894604
0.75126,2.879315
0.75870,2.863137
0.76614,2.845700
0.77358,2.827889
0.78102,2.815570
0.78845,2.798563
0.79589,2.793041
0.80333,2.776585
0.81077,2.750933
0.81821,2.739793
0.82564,2.720781
0.83308,2.709933
0.84052,2.697015
0.84796,2.680104
0.85540,2.674822
0.86284,2.663370
0.87027,2.643985
0.87771,2.635048
0.88515,2.611574
0.89259,2.613274
0.90003,2.601067
0.90746,2.588644
0.91490,2.575315
0.92234,2.565748
0.92978,2.548889
0.93722,2.529167
0.94466,2.511011
0.95210,2.483148
0.95953,2.495915
0.96697,2.497796
0.97441,2.492937
0.98185,2.493744
0.98929,2.475630
0.99672,2.465341
1.00416,2.451463
1.01160,2.441281
1.01904,2.433937
1.02648,2.435015
1.03391,2.435537
1.04135,2.430937
1.04879,2.420837
1.05623,2.423067
1.06367,2.410189
1.07111,2.401633
1.07855,2.406167
1.08598,2.389463
1.09342,2.383967
1.10086,2.381041
1.10830,2.368526
1.11574,2.363022
1.12317,2.360174
1.13061,2.347637
1.13805,2.337385
1.14549,2.340144
1.15293,2.337878
1.16037,2.325015
1.16780,2.321526
1.17524,2.318900
1.18268,2.315833
1.19012,2.305956
1.19756,2.296507
1.20500,2.282844
1.21243,2.277344
1.21987,2.273093
1.22731,2.277907
1.23475,2.264078
1.24219,2.255152
1.24962,2.254304
1.25706,2.242633
1.26450,2.228248
1.27194,2.231881
1.27938,2.228652
1.28682,2.227733
1.29425,2.241615
1.30169,2.216381
1.30913,2.221463
1.31657,2.214919
1.32401,2.199859
1.33144,2.214219
1.33888,2.218430
1.34632,2.206985
1.35376,2.201567
1.36120,2.199796
1.36864,2.187507
1.37607,2.187052
1.38351,2.185163
1.39095,2.188893
1.39839,2.203974
1.40583,2.186274
1.41327,2.183707
1.42070,2.162670
1.42814,2.186300
1.43558,2.176752
1.44302,2.167781
