2-THETA,INTENSITY
25.6,1548
25.65,1562
25.7,1634
25.75,1337
25.8,1300
25.85,1043
25.9,1031
25.95,923
26,957
26.05,945
26.1,931
26.15,918
26.2,926
26.25,926
26.3,897
26.35,911
26.4,913
26.45,955
26.5,941
26.55,994
26.6,978
26.65,958
26.7,982
26.75,935
26.8,912
26.85,894
26.9,884
26.95,911
27,885
27.05,872
27.1,919
27.15,884
27.2,898
27.25,925
27.3,974
27.35,959
27.4,1074
27.45,1148
27.5,1208
27.55,1228
27.6,1318
27.65,1262
27.7,1214
27.75,1137
27.8,1046
27.85,1091
27.9,1098
27.95,1185
28,1317
28.05,1340
28.1,1461
28.15,1350
28.2,1396
28.25,1287
28.3,1313
28.35,1217
28.4,1236
28.45,1173
28.5,1177
28.55,1083
28.6,1086
28.65,945
28.7,953
28.75,877
28.8,859
28.85,839
28.9,847
28.95,834
29,825
29.05,880
29.1,895
29.15,900
29.2,894
29.25,915
29.3,961
29.35,995
29.4,1083
29.45,1175
29.5,1310
29.55,1356
29.6,1500
29.65,1508
29.7,1511
29.75,1421
29.8,1371
29.85,1249
29.9,1135
29.95,1139
30,1051
30.05,1031
30.1,1011
30.15,1004
30.2,948
30.25,968
30.3,964
30.35,872
30.4,897
30.45,904
30.5,880
30.55,921
30.6,915
30.65,972
30.7,974
30.75,981
30.8,998
30.85,1004
30.9,931
30.95,949
31,924
31.05,896
31.1,882
31.15,840
31.2,874
31.25,854
31.3,902
31.35,861
31.4,947
31.45,893
31.5,889
31.55,942
31.6,863
31.65,882
31.7,876
31.75,901
31.8,904
31.85,880
31.9,902
31.95,955
32,1011
32.05,1102
32.1,1294
32.15,1440
32.2,1664
32.25,1802
32.3,1961
32.35,2183
32.4,2196
32.45,2130
32.5,2059
32.55,1970
32.6,1960
32.65,1908
32.7,1909
32.75,1795
32.8,1631
32.85,1537
32.9,1352
32.95,1270
33,1156
33.05,1194
33.1,1129
33.15,1068
33.2,1043
33.25,995
33.3,949
33.35,881
33.4,841
33.45,786
33.5,757
33.55,767
33.6,741
33.65,739
33.7,778
33.75,737
33.8,712
33.85,728
33.9,746
33.95,744
34,751
34.05,727
34.1,701
34.15,716
34.2,734
34.25,734
34.3,716
34.35,785
34.4,809
34.45,835
34.5,865
34.55,854
34.6,846
34.65,850
34.7,797
34.75,837
34.8,801
34.85,849
34.9,781
34.95,790
35,805
35.05,788
35.1,764
35.15,740
35.2,784
35.25,819
35.3,822
35.35,842
35.4,897
35.45,878
35.5,944
35.55,901
35.6,902
35.65,889
35.7,895
35.75,906
35.8,934
35.85,966
35.9,979
35.95,973
36,941
36.05,924
36.1,903
36.15,865
36.2,879
36.25,911
36.3,899
36.35,926
36.4,922
36.45,922
36.5,966
36.55,963
36.6,981
36.65,998
36.7,949
36.75,973
36.8,942
36.85,947
36.9,900
36.95,873
37,816
37.05,847
37.1,789
37.15,825
37.2,819
37.25,816
37.3,772
37.35,775
37.4,732
37.45,742
37.5,768
37.55,747
37.6,705
37.65,698
37.7,692
37.75,679
37.8,684
37.85,683
37.9,648
37.95,653
38,645
38.05,693
38.1,685
38.15,708
38.2,696
38.25,743
38.3,797
38.35,837
38.4,880
38.45,933
38.5,1078
38.55,1258
38.6,1423
38.65,1617
38.7,1603
38.75,1713
38.8,1619
38.85,1432
38.9,1281
38.95,1153
39,943
39.05,830
39.1,762
39.15,699
39.2,693
39.25,660
39.3,681
39.35,691
39.4,672
39.45,664
39.5,682
39.55,667
39.6,618
39.65,641
39.7,608
39.75,621
39.8,630
39.85,632
39.9,586
39.95,596
40,611
40.05,599
40.1,606
40.15,599
40.2,619
40.25,628
40.3,629
40.35,644
40.4,618
40.45,638
40.5,639
40.55,614
40.6,611
40.65,670
40.7,668
40.75,666
40.8,694
40.85,671
40.9,729
40.95,673
41,751
41.05,751
41.1,772
41.15,815
41.2,825
41.25,875
41.3,865
41.35,980
41.4,1118
41.45,1285
41.5,1672
41.55,1846
41.6,2018
41.65,1981
41.7,1874
41.75,1685
41.8,1520
41.85,1325
41.9,1150
41.95,1006
42,842
42.05,818
42.1,791
42.15,752
42.2,698
42.25,697
42.3,681
42.35,695
42.4,672
42.45,674
42.5,654
42.55,656
42.6,676
42.65,680
42.7,671
42.75,688
42.8,667
42.85,670
42.9,665
42.95,657
43,636
43.05,648
43.1,625
43.15,617
43.2,590
43.25,598
43.3,596
43.35,600
43.4,613
43.45,621
43.5,605
43.55,614
43.6,623
43.65,622
43.7,584
43.75,590
43.8,566
43.85,563
43.9,555
43.95,583
44,564
44.05,600
44.1,612
44.15,627
44.2,601
44.25,620
44.3,599
44.35,582
44.4,609
44.45,581
44.5,553
44.55,561
44.6,560
44.65,592
44.7,592
44.75,580
44.8,578
44.85,593
44.9,586
44.95,593
45,602
45.05,603
45.1,608
45.15,624
45.2,712
45.25,635
45.3,661
45.35,658
45.4,674
45.45,682
45.5,674
45.55,676
45.6,643
45.65,668
45.7,706
45.75,721
45.8,695
45.85,715
45.9,678
45.95,646
46,686
46.05,657
46.1,631
46.15,665
46.2,627
46.25,624
46.3,622
46.35,583
46.4,600
46.45,604
46.5,607
46.55,573
46.6,591
46.65,576
46.7,569
46.75,558
46.8,565
46.85,577
46.9,557
46.95,566
47,581
47.05,569
47.1,587
47.15,606
47.2,607
47.25,637
47.3,613
47.35,606
47.4,650
47.45,644
47.5,719
47.55,735
47.6,755
47.65,861
47.7,952
47.75,1017
47.8,1080
47.85,1133
47.9,1178
47.95,1023
48,960
48.05,900
48.1,776
48.15,688
48.2,686
48.25,648
48.3,639
48.35,617
48.4,611
48.45,637
48.5,609
48.55,580
48.6,579
48.65,592
48.7,575
48.75,564
48.8,554
48.85,574
48.9,565
48.95,554
49,576
49.05,530
49.1,545
49.15,556
49.2,547
49.25,593
49.3,583
49.35,599
49.4,638
49.45,633
49.5,651
49.55,666
49.6,688
49.65,701
49.7,674
49.75,633
49.8,711
49.85,718
49.9,707
49.95,722
50,696
50.05,661
50.1,659
50.15,665
50.2,627
50.25,618
50.3,617
50.35,616
50.4,582
50.45,576
50.5,611
50.55,599
50.6,581
50.65,622
50.7,609
50.75,634
50.8,614
50.85,622
50.9,662
50.95,614
51,626
51.05,619
51.1,593
51.15,599
51.2,583
51.25,577
51.3,579
51.35,598
51.4,548
51.45,590
51.5,593
51.55,565
51.6,601
51.65,591
51.7,576
51.75,586
51.8,609
51.85,569
51.9,588
51.95,531
52,513
