KEV,INTENSITY
0.39373,4.756
0.40145,4.72168
0.40917,4.68571
0.41689,4.65094
0.42461,4.61666
0.43233,4.58015
0.44005,4.54444
0.44777,4.50937
0.45549,4.47403
0.46321,4.44093
0.47093,4.405
0.47865,4.36993
0.48637,4.33639
0.49409,4.30109
0.50181,4.2673
0.50953,4.23201
0.51725,4.19817
0.52497,4.16836
0.53269,4.13409
0.54041,4.10161
0.54813,4.07156
0.55585,4.03745
0.56357,4.00708
0.57129,3.97712
0.57901,3.94663
0.58673,3.91765
0.59445,3.88962
0.60217,3.86291
0.60989,3.83537
0.61761,3.80237
0.62533,3.77647
0.63305,3.749
0.64077,3.72342
0.64849,3.6986
0.65622,3.66972
0.66394,3.64468
0.67166,3.62257
0.67938,3.59489
0.6871,3.57236
0.69482,3.54805
0.70254,3.52156
0.71026,3.49789
0.71798,3.47735
0.7257,3.45429
0.73342,3.42966
0.74114,3.4066
0.74886,3.3826
0.75658,3.35387
0.7643,3.33555
0.77202,3.32413
0.77974,3.30143
0.78746,3.28513
0.79518,3.26522
0.8029,3.24824
0.81062,3.23416
0.81834,3.22414
0.82606,3.2082
0.83378,3.1931
0.8415,3.18015
0.84922,3.15668
0.85694,3.14307
0.86466,3.1276
0.87238,3.11614
0.8801,3.1026
0.88782,3.09112
0.89554,3.07596
0.90326,3.06252
0.91098,3.04404
0.9187,3.03613
0.92642,3.02165
0.93414,3.01085
0.94186,2.99404
0.94958,2.98515
0.9573,2.96647
0.96502,2.95667
0.97274,2.94677
0.98046,2.93493
0.98818,2.91931
0.9959,2.91089
1.00362,2.89895
1.01134,2.89545
1.01906,2.87645
1.02678,2.87082
1.0345,2.85697
1.04222,2.85527
1.04994,2.8382
1.05766,2.82912
1.06538,2.82106
1.0731,2.81014
1.08082,2.8043
1.08855,2.79444
1.09627,2.78391
1.10399,2.77933
1.11171,2.77027
1.11943,2.75809
1.12715,2.75312
1.13487,2.74458
1.14259,2.74115
1.15031,2.73271
1.15803,2.7183
1.16575,2.718
1.17347,2.70926
1.18119,2.69593
1.18891,2.6886
1.19663,2.68589
1.20435,2.68027
1.21207,2.67539
1.21979,2.67006
1.22751,2.66177
1.23523,2.64738
1.24295,2.64282
1.25067,2.63604
1.25839,2.63146
1.26611,2.62835
1.27383,2.6176
1.28155,2.61078
1.28927,2.60355
1.29699,2.58975
1.30471,2.58499
1.31243,2.57452
1.32015,2.56707
1.32787,2.56663
1.33559,2.55645
1.34331,2.54873
1.35103,2.54166
1.35875,2.52769
1.36647,2.52063
1.37419,2.51072
1.38191,2.50895
1.38963,2.50536
1.39735,2.48949
1.40507,2.47429
1.41279,2.47226
1.42051,2.46107
1.42823,2.44371
1.43595,2.44501
1.44367,2.43373
1.45139,2.42581
1.45911,2.42767
1.46683,2.41463
1.47455,2.40991
1.48227,2.40627
1.48999,2.40131
1.49771,2.38227
1.50543,2.38032
1.51315,2.37733
1.52088,2.36036
1.5286,2.35728
1.53632,2.36111
1.54404,2.3515
1.55176,2.33658
1.55948,2.34159
1.5672,2.32224
1.57492,2.33359
1.58264,2.31877
1.59036,2.33304
1.59808,2.31694
1.6058,2.31226
1.61352,2.307
1.62124,2.30832
1.62896,2.31009
1.63668,2.30983
1.6444,2.30034
1.65212,2.30059
1.65984,2.29135
1.66756,2.28078
1.67528,2.2826
1.683,2.28088
1.69072,2.27447
1.69844,2.27009
1.70616,2.26349
1.71388,2.2553
1.7216,2.25215
1.72932,2.25095
1.73704,2.23651
1.74476,2.22773
1.75248,2.24651
1.7602,2.23012
1.76792,2.23911
1.77564,2.24598
1.78336,2.23144
1.79108,2.23203
1.7988,2.22851
1.80652,2.22286
1.81424,2.21494
1.82196,2.21477
1.82968,2.21286
1.8374,2.21463
1.84512,2.20795
1.85284,2.19175
1.86056,2.19549
1.86828,2.17854
1.876,2.18438
1.88372,2.18763
1.89144,2.16888
1.89916,2.15927
1.90688,2.14068
1.9146,2.14095
1.92232,2.1422
1.93004,2.13388
1.93776,2.12477
