Archivo,Sol,Region,Num_Picos,Tamano_Grano_Promedio_A,Tamano_Grano_Min_A,Tamano_Grano_Max_A
cma_404470826rda00790050104ch11503p1.csv,79,Rocknest,18,229.18588630228135,102.82010373878424,462.9278900318085
cma_405889312rda00950050104ch11504p1.csv,95,Rocknest,16,230.69411139207756,144.5125049074949,357.491232840246
cma_408288091rda01220050926ch11520p1.csv,122,Yellowknife Bay,9,270.7021521424159,126.3217172065536,344.4354291193043
cma_410683388rda01490051902ch11521p1.csv,149,Yellowknife Bay,22,309.3110801429925,130.66480117316848,610.4845831044638
cma_414856883rda01960060000ch12240p1.csv,196,Murray Buttes,20,266.7753562111053,150.58983926171837,444.5492205634133
cma_414856883rda01960060000ch12240p2.csv,196,Murray Buttes,16,245.1804685869272,115.69388636889359,380.44895690219704
cma_595174954rda22270730550ch00111p1.csv,2227,Glen Torridon,8,241.5760477771346,123.46956186099554,460.9126890360895
cma_598547494rda22650731206ch00111p1.csv,2265,Glen Torridon,8,277.14560962883303,144.10513846708952,473.43186451971036
cma_599656708rda22770731206ch00113p1.csv,2277,Glen Torridon,6,255.35546324485927,132.57906774531654,471.4375363626943
